wavelength_angstrom,opacity_cm_minus_1
5022.6,1.1245930495545281e-15
5022.7,1.1251392999742834e-15
5022.8,1.1256859484873895e-15
5022.9,1.1262329954807636e-15
5023.0,1.1267804413417935e-15
5023.1,1.1273282864583477e-15
5023.2,1.1278765312187579e-15
5023.3,1.128425176011825e-15
5023.4,1.1289742212268356e-15
5023.5,1.1295236672535383e-15
5023.6,1.1300735144821566e-15
5023.7,1.130623763303399e-15
5023.8,1.1311744141084398e-15
5023.9,1.1317254672889292e-15
5024.0,1.1322769232370056e-15
5024.1,1.1328287823452743e-15
5024.2,1.1333810450068188e-15
5024.3,1.133933711615213e-15
5024.4,1.1344867825644996e-15
5024.5,1.1350402582492056e-15
5024.6,1.1355941390643357e-15
5024.7,1.1361484254053874e-15
5024.8,1.136703117668331e-15
5024.9,1.1372582162496178e-15
5025.0,1.1378137215461971e-15
5025.1,1.1383696339554904e-15
5025.2,1.1389259538754041e-15
5025.3,1.1394826817043445e-15
5025.4,1.1400398178411903e-15
5025.5,1.1405973626853114e-15
5025.6,1.1411553166365752e-15
5025.7,1.1417136800953264e-15
5025.8,1.1422724534624019e-15
5025.9,1.1428316371391387e-15
5026.0,1.143391231527354e-15
5026.1,1.143951237029357e-15
5026.2,1.1445116540479619e-15
5026.3,1.145072482986464e-15
5026.4,1.1456337242486525e-15
5026.5,1.146195378238825e-15
5026.6,1.1467574453617596e-15
5026.7,1.1473199260227344e-15
5026.8,1.1478828206275348e-15
5026.9,1.1484461295824311e-15
5027.0,1.1490098532941947e-15
5027.1,1.1495739921701054e-15
5027.2,1.1501385466179333e-15
5027.3,1.150703517045949e-15
5027.4,1.1512689038629338e-15
5027.5,1.1518347074781637e-15
5027.6,1.152400928301415e-15
5027.7,1.1529675667429794e-15
5027.8,1.153534623213642e-15
5027.9,1.154102098124698e-15
5028.0,1.1546699918879428e-15
5028.1,1.1552383049156906e-15
5028.2,1.1558070376207526e-15
5028.3,1.156376190416447e-15
5028.4,1.156945763716613e-15
5028.5,1.1575157579355882e-15
5028.6,1.1580861734882198e-15
5028.7,1.1586570107898789e-15
5028.8,1.1592282702564358e-15
5028.9,1.159799952304275e-15
5029.0,1.1603720573503048e-15
5029.1,1.160944585811936e-15
5029.2,1.161517538107096e-15
5029.3,1.162090914654238e-15
5029.4,1.1626647158723204e-15
5029.5,1.1632389421808203e-15
5029.6,1.1638135939997423e-15
5029.7,1.1643886717496002e-15
5029.8,1.164964175851426e-15
5029.9,1.1655401067267842e-15
5030.0,1.1661164647977486e-15
5030.1,1.1666932504869161e-15
5030.2,1.1672704642174157e-15
5030.3,1.1678481064128903e-15
5030.4,1.1684261774975066e-15
5030.5,1.1690046778959668e-15
5030.6,1.1695836080334884e-15
5030.7,1.1701629683358158e-15
5030.8,1.1707427592292313e-15
5030.9,1.1713229811405338e-15
5031.0,1.1719036344970524e-15
5031.1,1.1724847197266564e-15
5031.2,1.1730662372577343e-15
5031.3,1.1736481875192097e-15
5031.4,1.174230570940534e-15
5031.5,1.1748133879517047e-15
5031.6,1.17539663898324e-15
5031.7,1.1759803244661922e-15
5031.8,1.1765644448321625e-15
5031.9,1.1771490005132737e-15
5032.0,1.1777339919421878e-15
5032.1,1.1783194195521154e-15
5032.2,1.1789052837767936e-15
5032.3,1.1794915850504984e-15
5032.4,1.1800783238080597e-15
5032.5,1.1806655004848337e-15
5032.6,1.18125311551672e-15
5032.7,1.1818411693401728e-15
5032.8,1.1824296623921762e-15
5032.9,1.1830185951102598e-15
5033.0,1.1836079679325096e-15
5033.1,1.1841977812975448e-15
5033.2,1.1847880356445331e-15
5033.3,1.1853787314131991e-15
5033.4,1.1859698690438056e-15
5033.5,1.1865614489771628e-15
5033.6,1.1871534716546436e-15
5033.7,1.1877459375181603e-15
5033.8,1.1883388470101757e-15
5033.9,1.1889322005737168e-15
5034.0,1.189525998652352e-15
5034.1,1.1901202416902044e-15
5034.2,1.1907149301319627e-15
5034.3,1.19131006442286e-15
5034.4,1.1919056450086858e-15
5034.5,1.1925016723357992e-15
5034.6,1.193098146851104e-15
5034.7,1.1936950690020692e-15
5034.8,1.1942924392367184e-15
5034.9,1.1948902580036472e-15
5035.0,1.1954885257520019e-15
5035.1,1.1960872429314905e-15
5035.2,1.1966864099923967e-15
5035.3,1.197286027385556e-15
5035.4,1.1978860955623684e-15
5035.5,1.198486614974812e-15
5035.6,1.19908758607542e-15
5035.7,1.1996890093172917e-15
5035.8,1.2002908851541082e-15
5035.9,1.2008932140401066e-15
5036.0,1.2014959964300948e-15
5036.1,1.202099232779463e-15
5036.2,1.2027029235441618e-15
5036.3,1.2033070691807139e-15
5036.4,1.2039116701462266e-15
5036.5,1.2045167268983712e-15
5036.6,1.205122239895394e-15
5036.7,1.2057282095961276e-15
5036.8,1.2063346364599717e-15
5036.9,1.206941520946902e-15
5037.0,1.2075488635174863e-15
5037.1,1.2081566646328583e-15
5037.2,1.2087649247547345e-15
5037.3,1.2093736443454225e-15
5037.4,1.2099828238678013e-15
5037.5,1.2105924637853313e-15
5037.6,1.2112025645620715e-15
