# Korg.jl Reference Spectrum - Solar-like (With Lines)
# Generated: 2025-10-05 14:04:44
# Parameters: Teff=5771.0K, logg=4.44, [M/H]=0.0
# Synthesis time: 2.6 seconds
# Wavelength range: 5000.0-5020.0 Å (2001 points)
# Line list: 41821 lines
#
# Wavelength(Å)    Flux              Continuum         NormalizedFlux
     5001.3800      1.026933e+15      1.033644e+15      0.993507
     5001.3900      1.026783e+15      1.033639e+15      0.993367
     5001.4000      1.026596e+15      1.033634e+15      0.993191
     5001.4100      1.026366e+15      1.033629e+15      0.992974
     5001.4200      1.026087e+15      1.033624e+15      0.992708
     5001.4300      1.025748e+15      1.033619e+15      0.992385
     5001.4400      1.025337e+15      1.033614e+15      0.991993
     5001.4500      1.024837e+15      1.033609e+15      0.991513
     5001.4600      1.024223e+15      1.033604e+15      0.990925
     5001.4700      1.023461e+15      1.033598e+15      0.990192
     5001.4800      1.022493e+15      1.033593e+15      0.989260
     5001.4900      1.021270e+15      1.033588e+15      0.988082
     5001.5000      1.019659e+15      1.033583e+15      0.986529
     5001.5100      1.017283e+15      1.033578e+15      0.984235
     5001.5200      1.013970e+15      1.033573e+15      0.981034
     5001.5300      1.008257e+15      1.033568e+15      0.975511
     5001.5400      9.964471e+14      1.033563e+15      0.964090
     5001.5500      9.671578e+14      1.033558e+15      0.935756
     5001.5600      8.971514e+14      1.033553e+15      0.868027
     5001.5700      7.694008e+14      1.033547e+15      0.744427
     5001.5800      6.174554e+14      1.033542e+15      0.597417
     5001.5900      5.034234e+14      1.033537e+15      0.487088
     5001.6000      4.485859e+14      1.033532e+15      0.434032
     5001.6100      4.446450e+14      1.033527e+15      0.430221
     5001.6200      4.900676e+14      1.033522e+15      0.474172
     5001.6300      5.931291e+14      1.033517e+15      0.573894
     5001.6400      7.380435e+14      1.033512e+15      0.714112
     5001.6500      8.650071e+14      1.033507e+15      0.836963
     5001.6600      9.296125e+14      1.033502e+15      0.899479
     5001.6700      9.341409e+14      1.033496e+15      0.903865
     5001.6800      8.724643e+14      1.033491e+15      0.844191
     5001.6900      7.163037e+14      1.033486e+15      0.693095
     5001.7000      5.107748e+14      1.033481e+15      0.494227
     5001.7100      3.712938e+14      1.033476e+15      0.359267
     5001.7200      3.076900e+14      1.033471e+15      0.297725
     5001.7300      2.814620e+14      1.033466e+15      0.272348
     5001.7400      2.761198e+14      1.033461e+15      0.267180
     5001.7500      2.891374e+14      1.033456e+15      0.279777
     5001.7600      3.281726e+14      1.033451e+15      0.317550
     5001.7700      4.213070e+14      1.033445e+15      0.407672
     5001.7800      6.044163e+14      1.033440e+15      0.584858
     5001.7900      8.024898e+14      1.033435e+15      0.776526
     5001.8000      9.052308e+14      1.033430e+15      0.875948
     5001.8100      9.318902e+14      1.033425e+15      0.901749
     5001.8200      9.371057e+14      1.033420e+15      0.906800
     5001.8300      9.508760e+14      1.033415e+15      0.920130
     5001.8400      9.757577e+14      1.033410e+15      0.944212
     5001.8500      9.986592e+14      1.033405e+15      0.966378
     5001.8600      1.011606e+15      1.033400e+15      0.978911
     5001.8700      1.017226e+15      1.033394e+15      0.984354
     5001.8800      1.019660e+15      1.033389e+15      0.986714
     5001.8900      1.021111e+15      1.033384e+15      0.988123
     5001.9000      1.022255e+15      1.033379e+15      0.989235
     5001.9100      1.023105e+15      1.033374e+15      0.990063
     5001.9200      1.023833e+15      1.033369e+15      0.990772
     5001.9300      1.024411e+15      1.033364e+15      0.991336
     5001.9400      1.024896e+15      1.033359e+15      0.991810
     5001.9500      1.025304e+15      1.033354e+15      0.992210
     5001.9600      1.025768e+15      1.033349e+15      0.992664
     5001.9700      1.026046e+15      1.033344e+15      0.992938
     5001.9800      1.026277e+15      1.033338e+15      0.993167
     5001.9900      1.026466e+15      1.033333e+15      0.993354
     5002.0000      1.026615e+15      1.033328e+15      0.993503
     5002.0100      1.026726e+15      1.033323e+15      0.993616
     5002.0200      1.026796e+15      1.033318e+15      0.993688
     5002.0300      1.026815e+15      1.033313e+15      0.993712
     5002.0400      1.026754e+15      1.033308e+15      0.993657
     5002.0500      1.026484e+15      1.033303e+15      0.993401
     5002.0600      1.025421e+15      1.033297e+15      0.992378
     5002.0700      1.021429e+15      1.033292e+15      0.988519
     5002.0800      1.008799e+15      1.033287e+15      0.976300
     5002.0900      9.783965e+14      1.033282e+15      0.946882
     5002.1000      9.265235e+14      1.033277e+15      0.896685
     5002.1100      8.673720e+14      1.033272e+15      0.839442
     5002.1200      8.275478e+14      1.033267e+15      0.800904
     5002.1300      8.258583e+14      1.033262e+15      0.799273
     5002.1400      8.630459e+14      1.033256e+15      0.835268
     5002.1500      9.215849e+14      1.033251e+15      0.891927
     5002.1600      9.747280e+14      1.033246e+15      0.943365
     5002.1700      1.006791e+15      1.033241e+15      0.974401
     5002.1800      1.020320e+15      1.033236e+15      0.987500
     5002.1900      1.024536e+15      1.033231e+15      0.991585
     5002.2000      1.025483e+15      1.033226e+15      0.992506
     5002.2100      1.025150e+15      1.033221e+15      0.992189
     5002.2200      1.022891e+15      1.033216e+15      0.990007
     5002.2300      1.015381e+15      1.033210e+15      0.982744
     5002.2400      9.979514e+14      1.033205e+15      0.965879
     5002.2500      9.716424e+14      1.033200e+15      0.940420
     5002.2600      9.482029e+14      1.033195e+15      0.917739
     5002.2700      9.391368e+14      1.033190e+15      0.908968
     5002.2800      9.401130e+14      1.033185e+15      0.909918
     5002.2900      9.339822e+14      1.033180e+15      0.903988
     5002.3000      9.101741e+14      1.033175e+15      0.880949
     5002.3100      8.737156e+14      1.033169e+15      0.845665
     5002.3200      8.337806e+14      1.033164e+15      0.807017
     5002.3300      7.911564e+14      1.033159e+15      0.765764
     5002.3400      7.327587e+14      1.033154e+15      0.709244
     5002.3500      6.445333e+14      1.033149e+15      0.623853
     5002.3600      5.418903e+14      1.033144e+15      0.524506
     5002.3700      4.620071e+14      1.033139e+15      0.447188
     5002.3800      4.250246e+14      1.033134e+15      0.411394
     5002.3900      4.321391e+14      1.033128e+15      0.418282
     5002.4000      4.882355e+14      1.033123e+15      0.472582
     5002.4100      5.989849e+14      1.033118e+15      0.579784
     5002.4200      7.357253e+14      1.033113e+15      0.712144
     5002.4300      8.357865e+14      1.033108e+15      0.809002
     5002.4400      8.752983e+14      1.033103e+15      0.847252
     5002.4500      8.834987e+14      1.033098e+15      0.855194
     5002.4600      8.911100e+14      1.033093e+15      0.862566
     5002.4700      9.099608e+14      1.033087e+15      0.880817
     5002.4800      9.382033e+14      1.033082e+15      0.908159
     5002.4900      9.682819e+14      1.033077e+15      0.937279
     5002.5000      9.927676e+14      1.033072e+15      0.960986
     5002.5100      1.008627e+15      1.033067e+15      0.976343
     5002.5200      1.016994e+15      1.033062e+15      0.984446
     5002.5300      1.020639e+15      1.033057e+15      0.987980
     5002.5400      1.021916e+15      1.033052e+15      0.989221
     5002.5500      1.022150e+15      1.033046e+15      0.989452
     5002.5600      1.021750e+15      1.033041e+15      0.989070
     5002.5700      1.020337e+15      1.033036e+15      0.987707
     5002.5800      1.016426e+15      1.033031e+15      0.983926
     5002.5900      1.007473e+15      1.033026e+15      0.975264
     5002.6000      9.919694e+14      1.033021e+15      0.960261
     5002.6100      9.730329e+14      1.033016e+15      0.941934
     5002.6200      9.594324e+14      1.033011e+15      0.928773
     5002.6300      9.590782e+14      1.033005e+15      0.928435
     5002.6400      9.720416e+14      1.033000e+15      0.940989
     5002.6500      9.905044e+14      1.032995e+15      0.958866
     5002.6600      1.005773e+15      1.032990e+15      0.973652
     5002.6700      1.014326e+15      1.032985e+15      0.981937
     5002.6800      1.017831e+15      1.032980e+15      0.985335
     5002.6900      1.018838e+15      1.032975e+15      0.986315
     5002.7000      1.018771e+15      1.032970e+15      0.986254
     5002.7100      1.018485e+15      1.032964e+15      0.985982
     5002.7200      1.018048e+15      1.032959e+15      0.985564
     5002.7300      1.017505e+15      1.032954e+15      0.985043
     5002.7400      1.016865e+15      1.032949e+15      0.984429
     5002.7500      1.016116e+15      1.032944e+15      0.983709
     5002.7600      1.015227e+15      1.032939e+15      0.982853
     5002.7700      1.014141e+15      1.032934e+15      0.981807
     5002.7800      1.012834e+15      1.032929e+15      0.980546
     5002.7900      1.010810e+15      1.032924e+15      0.978592
     5002.8000      1.007470e+15      1.032918e+15      0.975363
     5002.8100      1.001235e+15      1.032913e+15      0.969331
     5002.8200      9.891479e+14      1.032908e+15      0.957634
     5002.8300      9.675655e+14      1.032903e+15      0.936744
     5002.8400      9.352026e+14      1.032898e+15      0.905416
     5002.8500      8.973311e+14      1.032893e+15      0.868755
     5002.8600      8.637494e+14      1.032888e+15      0.836247
     5002.8700      8.449710e+14      1.032883e+15      0.818071
     5002.8800      8.458729e+14      1.032877e+15      0.818948
     5002.8900      8.658876e+14      1.032872e+15      0.838330
     5002.9000      8.988716e+14      1.032867e+15      0.870268
     5002.9100      9.338214e+14      1.032862e+15      0.904110
     5002.9200      9.616861e+14      1.032857e+15      0.931093
     5002.9300      9.784818e+14      1.032852e+15      0.947359
     5002.9400      9.863068e+14      1.032847e+15      0.954940
     5002.9500      9.888195e+14      1.032842e+15      0.957378
     5002.9600      9.886915e+14      1.032836e+15      0.957259
     5002.9700      9.872484e+14      1.032831e+15      0.955866
     5002.9800      9.850741e+14      1.032826e+15      0.953766
     5002.9900      9.823229e+14      1.032821e+15      0.951106
     5003.0000      9.790715e+14      1.032816e+15      0.947963
     5003.0100      9.753126e+14      1.032809e+15      0.944330
     5003.0200      9.710120e+14      1.032803e+15      0.940172
     5003.0300      9.661091e+14      1.032796e+15      0.935431
     5003.0400      9.605177e+14      1.032789e+15      0.930023
     5003.0500      9.541259e+14      1.032782e+15      0.923840
     5003.0600      9.468933e+14      1.032776e+15      0.916843
     5003.0700      9.384585e+14      1.032769e+15      0.908682
     5003.0800      9.287056e+14      1.032762e+15      0.899244
     5003.0900      9.173674e+14      1.032756e+15      0.888271
     5003.1000      9.041072e+14      1.032749e+15      0.875437
     5003.1100      8.885007e+14      1.032742e+15      0.860332
     5003.1200      8.699595e+14      1.032736e+15      0.842384
     5003.1300      8.474959e+14      1.032729e+15      0.820637
     5003.1400      8.209379e+14      1.032722e+15      0.794926
     5003.1500      7.890063e+14      1.032715e+15      0.764011
     5003.1600      7.493103e+14      1.032709e+15      0.725578
     5003.1700      6.991764e+14      1.032702e+15      0.677036
     5003.1800      6.338465e+14      1.032695e+15      0.613779
     5003.1900      5.412261e+14      1.032689e+15      0.524094
     5003.2000      4.184873e+14      1.032682e+15      0.405243
     5003.2100      3.113095e+14      1.032675e+15      0.301459
     5003.2200      2.468102e+14      1.032669e+15      0.239002
     5003.2300      2.085041e+14      1.032662e+15      0.201909
     5003.2400      1.850646e+14      1.032655e+15      0.179212
     5003.2500      1.727059e+14      1.032648e+15      0.167246
     5003.2600      1.696922e+14      1.032642e+15      0.164328
     5003.2700      1.755545e+14      1.032635e+15      0.170006
     5003.2800      1.911823e+14      1.032628e+15      0.185141
     5003.2900      2.187447e+14      1.032622e+15      0.211834
     5003.3000      2.635039e+14      1.032615e+15      0.255181
     5003.3100      3.405027e+14      1.032608e+15      0.329750
     5003.3200      4.581952e+14      1.032601e+15      0.443729
     5003.3300      5.725850e+14      1.032595e+15      0.554511
     5003.3400      6.512569e+14      1.032588e+15      0.630704
     5003.3500      7.074586e+14      1.032581e+15      0.685136
     5003.3600      7.525391e+14      1.032575e+15      0.728799
     5003.3700      7.907829e+14      1.032568e+15      0.765841
     5003.3800      8.234864e+14      1.032561e+15      0.797518
     5003.3900      8.513589e+14      1.032555e+15      0.824517
     5003.4000      8.741189e+14      1.032548e+15      0.846565
     5003.4100      8.924689e+14      1.032541e+15      0.864342
     5003.4200      9.076305e+14      1.032534e+15      0.879032
     5003.4300      9.203920e+14      1.032528e+15      0.891397
     5003.4400      9.312770e+14      1.032521e+15      0.901945
     5003.4500      9.406477e+14      1.032514e+15      0.911026
     5003.4600      9.487699e+14      1.032508e+15      0.918899
     5003.4700      9.558517e+14      1.032501e+15      0.925763
     5003.4800      9.620595e+14      1.032494e+15      0.931782
     5003.4900      9.675263e+14      1.032488e+15      0.937083
     5003.5000      9.723649e+14      1.032481e+15      0.941775
     5003.5100      9.766642e+14      1.032474e+15      0.945945
     5003.5200      9.804991e+14      1.032467e+15      0.949666
     5003.5300      9.839319e+14      1.032461e+15      0.952997
     5003.5400      9.870195e+14      1.032454e+15      0.955994
     5003.5500      9.897964e+14      1.032447e+15      0.958689
     5003.5600      9.923049e+14      1.032441e+15      0.961125
     5003.5700      9.945767e+14      1.032434e+15      0.963332
     5003.5800      9.966389e+14      1.032427e+15      0.965336
     5003.5900      9.985147e+14      1.032421e+15      0.967159
     5003.6000      1.000224e+15      1.032414e+15      0.968821
     5003.6100      1.001784e+15      1.032407e+15      0.970338
     5003.6200      1.003143e+15      1.032401e+15      0.971661
     5003.6300      1.004424e+15      1.032394e+15      0.972908
     5003.6400      1.005567e+15      1.032387e+15      0.974022
     5003.6500      1.006493e+15      1.032380e+15      0.974925
     5003.6600      1.006866e+15      1.032374e+15      0.975292
     5003.6700      1.005686e+15      1.032367e+15      0.974155
     5003.6800      1.001003e+15      1.032360e+15      0.969626
     5003.6900      9.909458e+14      1.032354e+15      0.959890
     5003.7000      9.767178e+14      1.032347e+15      0.946114
     5003.7100      9.644338e+14      1.032340e+15      0.934221
     5003.7200      9.615634e+14      1.032334e+15      0.931446
     5003.7300      9.702935e+14      1.032327e+15      0.939909
     5003.7400      9.855040e+14      1.032320e+15      0.954650
