# Korg.jl Reference Spectrum - Arcturus-like (Cool Giant) (Continuum-only)
# Generated: 2025-10-05 14:04:45
# Parameters: Teff=4250.0K, logg=1.4, [M/H]=-0.5
# Synthesis time: 0.65 seconds
# Wavelength range: 5000.0-5020.0 Å (2001 points)
# Line list: 0 lines (continuum only)
#
# Wavelength(Å)    Flux              Continuum         NormalizedFlux
     5002.7800      1.639833e+14      1.639833e+14      1.000000
     5002.7900      1.639834e+14      1.639834e+14      1.000000
     5002.8000      1.639835e+14      1.639835e+14      1.000000
     5002.8100      1.639835e+14      1.639835e+14      1.000000
     5002.8200      1.639836e+14      1.639836e+14      1.000000
     5002.8300      1.639837e+14      1.639837e+14      1.000000
     5002.8400      1.639838e+14      1.639838e+14      1.000000
     5002.8500      1.639839e+14      1.639839e+14      1.000000
     5002.8600      1.639840e+14      1.639840e+14      1.000000
     5002.8700      1.639841e+14      1.639841e+14      1.000000
     5002.8800      1.639842e+14      1.639842e+14      1.000000
     5002.8900      1.639843e+14      1.639843e+14      1.000000
     5002.9000      1.639843e+14      1.639843e+14      1.000000
     5002.9100      1.639844e+14      1.639844e+14      1.000000
     5002.9200      1.639845e+14      1.639845e+14      1.000000
     5002.9300      1.639846e+14      1.639846e+14      1.000000
     5002.9400      1.639847e+14      1.639847e+14      1.000000
     5002.9500      1.639848e+14      1.639848e+14      1.000000
     5002.9600      1.639849e+14      1.639849e+14      1.000000
     5002.9700      1.639850e+14      1.639850e+14      1.000000
     5002.9800      1.639851e+14      1.639851e+14      1.000000
     5002.9900      1.639852e+14      1.639852e+14      1.000000
     5003.0000      1.639852e+14      1.639852e+14      1.000000
     5003.0100      1.639848e+14      1.639848e+14      1.000000
     5003.0200      1.639844e+14      1.639844e+14      1.000000
     5003.0300      1.639840e+14      1.639840e+14      1.000000
     5003.0400      1.639836e+14      1.639836e+14      1.000000
     5003.0500      1.639832e+14      1.639832e+14      1.000000
     5003.0600      1.639828e+14      1.639828e+14      1.000000
     5003.0700      1.639824e+14      1.639824e+14      1.000000
     5003.0800      1.639820e+14      1.639820e+14      1.000000
     5003.0900      1.639816e+14      1.639816e+14      1.000000
     5003.1000      1.639812e+14      1.639812e+14      1.000000
