# Korg.jl Reference Spectrum - Metal-poor K Giant (With Lines)
# Generated: 2025-10-05 14:04:46
# Parameters: Teff=4500.0K, logg=1.5, [M/H]=-2.5
# Synthesis time: 0.12 seconds
# Wavelength range: 5000.0-5020.0 Å (2001 points)
# Line list: 41821 lines
#
# Wavelength(Å)    Flux              Continuum         NormalizedFlux
     5001.6600      1.802240e+14      1.803625e+14      0.999232
     5001.6700      1.802392e+14      1.803632e+14      0.999313
     5001.6800      1.799959e+14      1.803638e+14      0.997960
     5001.6900      1.789539e+14      1.803644e+14      0.992180
     5001.7000      1.757013e+14      1.803650e+14      0.974143
     5001.7100      1.686413e+14      1.803657e+14      0.934997
     5001.7200      1.584448e+14      1.803663e+14      0.878461
     5001.7300      1.496326e+14      1.803669e+14      0.829601
     5001.7400      1.472051e+14      1.803675e+14      0.816140
     5001.7500      1.526358e+14      1.803682e+14      0.846246
     5001.7600      1.628728e+14      1.803688e+14      0.902999
     5001.7700      1.722936e+14      1.803694e+14      0.955226
     5001.7800      1.776184e+14      1.803700e+14      0.984744
     5001.7900      1.793667e+14      1.803707e+14      0.994434
     5001.8000      1.789278e+14      1.803713e+14      0.991997
     5001.8100      1.770652e+14      1.803719e+14      0.981667
     5001.8200      1.751140e+14      1.803725e+14      0.970846
     5001.8300      1.751407e+14      1.803732e+14      0.970991
     5001.8400      1.771643e+14      1.803738e+14      0.982207
     5001.8500      1.791684e+14      1.803744e+14      0.993314
     5001.8600      1.800935e+14      1.803750e+14      0.998439
     5001.8700      1.803323e+14      1.803757e+14      0.999760
     5001.8800      1.803758e+14      1.803763e+14      0.999998
     5001.8900      1.803765e+14      1.803769e+14      0.999998
     5001.9000      1.803771e+14      1.803775e+14      0.999998
     5001.9100      1.803777e+14      1.803782e+14      0.999998
     5001.9200      1.803783e+14      1.803788e+14      0.999998
     5001.9300      1.803790e+14      1.803794e+14      0.999998
     5001.9400      1.803796e+14      1.803800e+14      0.999998
     5001.9500      1.803802e+14      1.803806e+14      0.999998
     5001.9600      1.803808e+14      1.803813e+14      0.999998
     5001.9700      1.803815e+14      1.803819e+14      0.999998
     5001.9800      1.803821e+14      1.803825e+14      0.999998
     5001.9900      1.803827e+14      1.803831e+14      0.999998
     5002.0000      1.803833e+14      1.803838e+14      0.999998
     5002.0100      1.803840e+14      1.803844e+14      0.999998
     5002.0200      1.803846e+14      1.803850e+14      0.999998
     5002.0300      1.803852e+14      1.803856e+14      0.999998
     5002.0400      1.803858e+14      1.803863e+14      0.999998
     5002.0500      1.803865e+14      1.803869e+14      0.999998
     5002.0600      1.803871e+14      1.803875e+14      0.999998
     5002.0700      1.803440e+14      1.803881e+14      0.999755
     5002.0800      1.802093e+14      1.803888e+14      0.999005
     5002.0900      1.797792e+14      1.803894e+14      0.996618
     5002.1000      1.788212e+14      1.803900e+14      0.991304
     5002.1100      1.774246e+14      1.803906e+14      0.983558
     5002.1200      1.762898e+14      1.803913e+14      0.977264
     5002.1300      1.762391e+14      1.803919e+14      0.976979
     5002.1400      1.773132e+14      1.803925e+14      0.982930
     5002.1500      1.787234e+14      1.803931e+14      0.990744
     5002.1600      1.797285e+14      1.803937e+14      0.996312
     5002.1700      1.801947e+14      1.803944e+14      0.998893
     5002.1800      1.803455e+14      1.803950e+14      0.999726
     5002.1900      1.803952e+14      1.803956e+14      0.999998
     5002.2000      1.803958e+14      1.803962e+14      0.999998
     5002.2100      1.803964e+14      1.803969e+14      0.999998
     5002.2200      1.803494e+14      1.803975e+14      0.999733
     5002.2300      1.801683e+14      1.803981e+14      0.998726
