# Korg.jl Reference Spectrum - Arcturus-like (Cool Giant) (With Lines)
# Generated: 2025-10-05 14:04:46
# Parameters: Teff=4250.0K, logg=1.4, [M/H]=-0.5
# Synthesis time: 0.28 seconds
# Wavelength range: 5000.0-5020.0 Å (2001 points)
# Line list: 41821 lines
#
# Wavelength(Å)    Flux              Continuum         NormalizedFlux
     5001.4600      1.615416e+14      1.633857e+14      0.988713
     5001.4700      1.615597e+14      1.633858e+14      0.988823
     5001.4800      1.615683e+14      1.633859e+14      0.988876
     5001.4900      1.615648e+14      1.633860e+14      0.988853
     5001.5000      1.615466e+14      1.633861e+14      0.988742
     5001.5100      1.615064e+14      1.633862e+14      0.988495
     5001.5200      1.614258e+14      1.633863e+14      0.988001
     5001.5300      1.612264e+14      1.633864e+14      0.986780
     5001.5400      1.604046e+14      1.633864e+14      0.981749
     5001.5500      1.562464e+14      1.633865e+14      0.956299
     5001.5600      1.400481e+14      1.633866e+14      0.857158
     5001.5700      1.044821e+14      1.633867e+14      0.639477
     5001.5800      6.881548e+13      1.633868e+14      0.421181
     5001.5900      5.034871e+13      1.633869e+14      0.308156
     5001.6000      4.343816e+13      1.633870e+14      0.265861
     5001.6100      4.298900e+13      1.633871e+14      0.263111
     5001.6200      4.866462e+13      1.633872e+14      0.297848
     5001.6300      6.469094e+13      1.633873e+14      0.395936
     5001.6400      9.773395e+13      1.633874e+14      0.598173
     5001.6500      1.347502e+14      1.633875e+14      0.824728
     5001.6600      1.528041e+14      1.633876e+14      0.935224
     5001.6700      1.539262e+14      1.633877e+14      0.942092
     5001.6800      1.370042e+14      1.633878e+14      0.838522
     5001.6900      9.259139e+13      1.633879e+14      0.566697
     5001.7000      5.254342e+13      1.633879e+14      0.321587
     5001.7100      3.526862e+13      1.633880e+14      0.215858
     5001.7200      2.778966e+13      1.633881e+14      0.170084
     5001.7300      2.443164e+13      1.633882e+14      0.149531
     5001.7400      2.370601e+13      1.633883e+14      0.145090
     5001.7500      2.541525e+13      1.633884e+14      0.155551
     5001.7600      3.024434e+13      1.633885e+14      0.185107
     5001.7700      4.112934e+13      1.633886e+14      0.251727
     5001.7800      6.813138e+13      1.633887e+14      0.416990
     5001.7900      1.119867e+14      1.633888e+14      0.685400
     5001.8000      1.183652e+14      1.633889e+14      0.724438
     5001.8100      9.120087e+13      1.633890e+14      0.558183
     5001.8200      7.172563e+13      1.633891e+14      0.438987
     5001.8300      7.258035e+13      1.633892e+14      0.444218
     5001.8400      9.491340e+13      1.633893e+14      0.580904
     5001.8500      1.301848e+14      1.633893e+14      0.796777
     5001.8600      1.537093e+14      1.633894e+14      0.940754
     5001.8700      1.607848e+14      1.633895e+14      0.984058
     5001.8800      1.619923e+14      1.633896e+14      0.991448
     5001.8900      1.621762e+14      1.633897e+14      0.992573
     5001.9000      1.622858e+14      1.633898e+14      0.993243
     5001.9100      1.623449e+14      1.633899e+14      0.993604
     5001.9200      1.624018e+14      1.633900e+14      0.993952
     5001.9300      1.624418e+14      1.633901e+14      0.994196
     5001.9400      1.624761e+14      1.633902e+14      0.994405
     5001.9500      1.625057e+14      1.633903e+14      0.994586
     5001.9600      1.625314e+14      1.633904e+14      0.994743
     5001.9700      1.625327e+14      1.633905e+14      0.994750
     5001.9800      1.625492e+14      1.633906e+14      0.994851
     5001.9900      1.625624e+14      1.633907e+14      0.994931
     5002.0000      1.625724e+14      1.633908e+14      0.994991
     5002.0100      1.625788e+14      1.633908e+14      0.995030
     5002.0200      1.625814e+14      1.633909e+14      0.995046
     5002.0300      1.625787e+14      1.633910e+14      0.995028
     5002.0400      1.625664e+14      1.633911e+14      0.994953
     5002.0500      1.625528e+14      1.633912e+14      0.994869
     5002.0600      1.623419e+14      1.633913e+14      0.993577
     5002.0700      1.613135e+14      1.633914e+14      0.987283
     5002.0800      1.573766e+14      1.633915e+14      0.963187
     5002.0900      1.472438e+14      1.633916e+14      0.901171
     5002.1000      1.314214e+14      1.633917e+14      0.804334
     5002.1100      1.165651e+14      1.633917e+14      0.713409
     5002.1200      1.081560e+14      1.633918e+14      0.661942
     5002.1300      1.078248e+14      1.633919e+14      0.659915
     5002.1400      1.156079e+14      1.633920e+14      0.707549
     5002.1500      1.300810e+14      1.633921e+14      0.796128
     5002.1600      1.460961e+14      1.633922e+14      0.894144
     5002.1700      1.567827e+14      1.633923e+14      0.959548
     5002.1800      1.610811e+14      1.633924e+14      0.985854
     5002.1900      1.622207e+14      1.633925e+14      0.992828
     5002.2000      1.624112e+14      1.633926e+14      0.993994
     5002.2100      1.622031e+14      1.633926e+14      0.992719
     5002.2200      1.607663e+14      1.633927e+14      0.983926
     5002.2300      1.547290e+14      1.633928e+14      0.946976
     5002.2400      1.396228e+14      1.633929e+14      0.854522
     5002.2500      1.192141e+14      1.633930e+14      0.729615
     5002.2600      1.051717e+14      1.633931e+14      0.643673
     5002.2700      1.036330e+14      1.633932e+14      0.634255
     5002.2800      1.122085e+14      1.633933e+14      0.686739
     5002.2900      1.206379e+14      1.633934e+14      0.738328
     5002.3000      1.191123e+14      1.633935e+14      0.728991
     5002.3100      1.105628e+14      1.633935e+14      0.676665
     5002.3200      1.004772e+14      1.633936e+14      0.614939
     5002.3300      8.455388e+13      1.633937e+14      0.517485
     5002.3400      5.413051e+13      1.633938e+14      0.331289
     5002.3500      2.822914e+13      1.633939e+14      0.172767
     5002.3600      1.751146e+13      1.633940e+14      0.107173
     5002.3700      1.266034e+13      1.633941e+14      0.077483
     5002.3800      1.072742e+13      1.633942e+14      0.065654
     5002.3900      1.080238e+13      1.633943e+14      0.066112
     5002.4000      1.292254e+13      1.633944e+14      0.079088
     5002.4100      1.808637e+13      1.633944e+14      0.110691
     5002.4200      3.007672e+13      1.633945e+14      0.184074
     5002.4300      6.456638e+13      1.633946e+14      0.395156
     5002.4400      1.012314e+14      1.633947e+14      0.619551
     5002.4500      1.111371e+14      1.633948e+14      0.680175
