# Korg.jl Reference Spectrum - Solar-like (Continuum-only)
# Generated: 2025-10-05 14:04:41
# Parameters: Teff=5771.0K, logg=4.44, [M/H]=0.0
# Synthesis time: 12.51 seconds
# Wavelength range: 5000.0-5020.0 Å (2001 points)
# Line list: 0 lines (continuum only)
#
# Wavelength(Å)    Flux              Continuum         NormalizedFlux
     5001.7300      1.033526e+15      1.033526e+15      1.000000
     5001.7400      1.033521e+15      1.033521e+15      1.000000
     5001.7500      1.033516e+15      1.033516e+15      1.000000
     5001.7600      1.033511e+15      1.033511e+15      1.000000
     5001.7700      1.033506e+15      1.033506e+15      1.000000
     5001.7800      1.033501e+15      1.033501e+15      1.000000
     5001.7900      1.033496e+15      1.033496e+15      1.000000
     5001.8000      1.033490e+15      1.033490e+15      1.000000
     5001.8100      1.033485e+15      1.033485e+15      1.000000
     5001.8200      1.033480e+15      1.033480e+15      1.000000
     5001.8300      1.033475e+15      1.033475e+15      1.000000
     5001.8400      1.033470e+15      1.033470e+15      1.000000
     5001.8500      1.033465e+15      1.033465e+15      1.000000
     5001.8600      1.033460e+15      1.033460e+15      1.000000
     5001.8700      1.033455e+15      1.033455e+15      1.000000
     5001.8800      1.033450e+15      1.033450e+15      1.000000
     5001.8900      1.033445e+15      1.033445e+15      1.000000
     5001.9000      1.033440e+15      1.033440e+15      1.000000
     5001.9100      1.033434e+15      1.033434e+15      1.000000
     5001.9200      1.033429e+15      1.033429e+15      1.000000
     5001.9300      1.033424e+15      1.033424e+15      1.000000
     5001.9400      1.033419e+15      1.033419e+15      1.000000
     5001.9500      1.033414e+15      1.033414e+15      1.000000
     5001.9600      1.033409e+15      1.033409e+15      1.000000
     5001.9700      1.033404e+15      1.033404e+15      1.000000
     5001.9800      1.033399e+15      1.033399e+15      1.000000
     5001.9900      1.033394e+15      1.033394e+15      1.000000
     5002.0000      1.033389e+15      1.033389e+15      1.000000
     5002.0100      1.033383e+15      1.033383e+15      1.000000
     5002.0200      1.033378e+15      1.033378e+15      1.000000
     5002.0300      1.033373e+15      1.033373e+15      1.000000
     5002.0400      1.033368e+15      1.033368e+15      1.000000
     5002.0500      1.033363e+15      1.033363e+15      1.000000
     5002.0600      1.033358e+15      1.033358e+15      1.000000
     5002.0700      1.033353e+15      1.033353e+15      1.000000
     5002.0800      1.033348e+15      1.033348e+15      1.000000
     5002.0900      1.033342e+15      1.033342e+15      1.000000
     5002.1000      1.033337e+15      1.033337e+15      1.000000
     5002.1100      1.033332e+15      1.033332e+15      1.000000
     5002.1200      1.033327e+15      1.033327e+15      1.000000
     5002.1300      1.033322e+15      1.033322e+15      1.000000
     5002.1400      1.033317e+15      1.033317e+15      1.000000
     5002.1500      1.033312e+15      1.033312e+15      1.000000
     5002.1600      1.033307e+15      1.033307e+15      1.000000
     5002.1700      1.033302e+15      1.033302e+15      1.000000
     5002.1800      1.033296e+15      1.033296e+15      1.000000
     5002.1900      1.033291e+15      1.033291e+15      1.000000
     5002.2000      1.033286e+15      1.033286e+15      1.000000
     5002.2100      1.033281e+15      1.033281e+15      1.000000
     5002.2200      1.033276e+15      1.033276e+15      1.000000
     5002.2300      1.033271e+15      1.033271e+15      1.000000
     5002.2400      1.033266e+15      1.033266e+15      1.000000
     5002.2500      1.033261e+15      1.033261e+15      1.000000
     5002.2600      1.033255e+15      1.033255e+15      1.000000
