# wavelength(A) flux continuum rectified_flux
6562.140000 3.426466539864e+14 3.877479463422e+14 8.836839942513e-01
6562.150000 3.493046974516e+14 3.877473691921e+14 9.008563956977e-01
6562.160000 3.531342217661e+14 3.877467920406e+14 9.107340899138e-01
6562.170000 3.549955427200e+14 3.877462148882e+14 9.155358043208e-01
6562.180000 3.557817917299e+14 3.877456377345e+14 9.175649113905e-01
6562.190000 3.560719169167e+14 3.877450605794e+14 9.183145141414e-01
6562.200000 3.561396443829e+14 3.877444834235e+14 9.184905514026e-01
6562.210000 3.561103548690e+14 3.877439062661e+14 9.184163802814e-01
6562.220000 3.560208807107e+14 3.877433291077e+14 9.181869911985e-01
6562.230000 3.558907246283e+14 3.877427519481e+14 9.178526815530e-01
6562.240000 3.557243431193e+14 3.877421747873e+14 9.174249443319e-01
6562.250000 3.555199958413e+14 3.877415976252e+14 9.168992907100e-01
6562.260000 3.552391024081e+14 3.877410204621e+14 9.161762198509e-01
6562.270000 3.548959990786e+14 3.877404432975e+14 9.152927047289e-01
6562.280000 3.544244400113e+14 3.877398661320e+14 9.140778933745e-01
6562.290000 3.537536320621e+14 3.877392889652e+14 9.123492050706e-01
6562.300000 3.527667525072e+14 3.877387117973e+14 9.098053451306e-01
6562.310000 3.513246517627e+14 3.877381346282e+14 9.060874347568e-01
6562.320000 3.492869813750e+14 3.877375574578e+14 9.008335010543e-01
6562.330000 3.465868740124e+14 3.877369802863e+14 8.938710817742e-01
6562.340000 3.434263029885e+14 3.877364031137e+14 8.857210729524e-01
6562.350000 3.400316346579e+14 3.877358259397e+14 8.769672852225e-01
6562.360000 3.369671365942e+14 3.877352487647e+14 8.690650067741e-01
6562.370000 3.349495293141e+14 3.877346715884e+14 8.638627232945e-01
6562.380000 3.342671355470e+14 3.877340944109e+14 8.621040562731e-01
6562.390000 3.351108478054e+14 3.877335172323e+14 8.642813502364e-01
6562.400000 3.372325869785e+14 3.877329400525e+14 8.697548032232e-01
6562.410000 3.402118644059e+14 3.877323628715e+14 8.774399482321e-01
6562.420000 3.433163780450e+14 3.877317856893e+14 8.854481131452e-01
6562.430000 3.460984770406e+14 3.877312085059e+14 8.926247602669e-01
6562.440000 3.483307370265e+14 3.877306313213e+14 8.983833333967e-01
6562.450000 3.499047538903e+14 3.877300541356e+14 9.024442396410e-01
6562.460000 3.509171987232e+14 3.877294769487e+14 9.050567975508e-01
6562.470000 3.515184987416e+14 3.877288997605e+14 9.066089707492e-01
6562.480000 3.518433276048e+14 3.877283225713e+14 9.074480947677e-01
6562.490000 3.519994623921e+14 3.877277453807e+14 9.078521374489e-01
6562.500000 3.520531759568e+14 3.877271681891e+14 9.079920233629e-01
6562.510000 3.520499428844e+14 3.877265909962e+14 9.079850365172e-01
6562.520000 3.520201812868e+14 3.877260138022e+14 9.079096288503e-01
6562.530000 3.519373622961e+14 3.877254366070e+14 9.076973782684e-01
6562.540000 3.518372578952e+14 3.877248594105e+14 9.074405454171e-01
6562.550000 3.517241539670e+14 3.877242822129e+14 9.071501840421e-01
6562.560000 3.516009942706e+14 3.877237050142e+14 9.068338864083e-01
6562.570000 3.514697234359e+14 3.877231278142e+14 9.064966679119e-01
6562.580000 3.513320754675e+14 3.877225506130e+14 9.061430007411e-01
6562.590000 3.511889513167e+14 3.877219734106e+14 9.057752085274e-01
6562.600000 3.510411642187e+14 3.877213962071e+14 9.053953886806e-01
6562.610000 3.508893608958e+14 3.877208190024e+14 9.050052091571e-01
6562.620000 3.507340185755e+14 3.877202417965e+14 9.046059007658e-01
6562.630000 3.505755097632e+14 3.877196645895e+14 9.041984242257e-01
6562.640000 3.504141280266e+14 3.877190873810e+14 9.037835366672e-01
6562.650000 3.502501066083e+14 3.877185101717e+14 9.033618396327e-01
6562.660000 3.500836320671e+14 3.877179329609e+14 9.029338142644e-01
6562.670000 3.499148421260e+14 3.877173557492e+14 9.024998157481e-01
6562.680000 3.497438686059e+14 3.877167785362e+14 9.020601840506e-01
6562.690000 3.495708105052e+14 3.877162013219e+14 9.016151744842e-01
6562.700000 3.493957474296e+14 3.877156241066e+14 9.011649923437e-01
6562.710000 3.492187437687e+14 3.877150468900e+14 9.007098036816e-01
6562.720000 3.490397650927e+14 3.877144696722e+14 9.002495196732e-01
6562.730000 3.488584807702e+14 3.877138924532e+14 8.997832875237e-01
6562.740000 3.486752509669e+14 3.877133152331e+14 8.993120361555e-01
6562.750000 3.484900396735e+14 3.877127380118e+14 8.988356726699e-01
6562.760000 3.483030737193e+14 3.877121607893e+14 8.983547820894e-01
6562.770000 3.481143675981e+14 3.877115835656e+14 8.978694017770e-01
6562.780000 3.479239314739e+14 3.877110063408e+14 8.973795579280e-01
