# Korg.jl Solar Spectrum - Complete Data
# Generated on: 2025-07-31T21:55:00.448
# Parameters: Teff=5780 K, logg=4.44, [M/H]=0.0, vmic=1.0 km/s
# Wavelength range: (5000, 5200) Å
# Synthesis time: 56.38 seconds
# Total wavelength points: 20001
# Strong absorption lines (>10% depth): 6154
# Deepest line: 5185.05 Å, 89.2% depth
#
# Column 1: Wavelength (Å)
# Column 2: Absolute Flux (erg/s/cm²/Å)
# Column 3: Continuum Flux (erg/s/cm²/Å)
# Column 4: Normalized Flux (dimensionless)
#
# Wavelength    AbsoluteFlux      ContinuumFlux     NormalizedFlux
 5001.5300     1.024023e+15     1.048635e+15      0.976530
 5001.5400     1.012345e+15     1.048629e+15      0.965398
 5001.5500     9.830724e+14     1.048624e+15      0.937488
 5001.5600     9.124640e+14     1.048619e+15      0.870158
 5001.5700     7.827644e+14     1.048614e+15      0.746475
 5001.5800     6.278237e+14     1.048609e+15      0.598721
 5001.5900     5.112616e+14     1.048603e+15      0.487564
 5001.6000     4.551648e+14     1.048598e+15      0.434070
 5001.6100     4.511377e+14     1.048593e+15      0.430231
 5001.6200     4.976294e+14     1.048588e+15      0.474571
 5001.6300     6.030636e+14     1.048582e+15      0.575123
 5001.6400     7.511123e+14     1.048577e+15      0.716316
 5001.6500     8.804507e+14     1.048572e+15      0.839666
 5001.6600     9.461039e+14     1.048567e+15      0.902283
 5001.6700     9.508441e+14     1.048562e+15      0.906808
 5001.6800     8.884436e+14     1.048556e+15      0.847302
 5001.6900     7.293217e+14     1.048551e+15      0.695552
 5001.7000     5.187818e+14     1.048546e+15      0.494763
 5001.7100     3.757286e+14     1.048541e+15      0.358335
 5001.7200     3.107113e+14     1.048536e+15      0.296329
 5001.7300     2.839682e+14     1.048530e+15      0.270825
 5001.7400     2.785231e+14     1.048525e+15      0.265633
 5001.7500     2.917886e+14     1.048520e+15      0.278286
 5001.7600     3.316163e+14     1.048515e+15      0.316272
 5001.7700     4.269775e+14     1.048510e+15      0.407223
 5001.7800     6.147395e+14     1.048504e+15      0.586301
 5001.7900     8.170212e+14     1.048499e+15      0.779229
 5001.8000     9.208728e+14     1.048494e+15      0.878281
 5001.8100     9.468694e+14     1.048489e+15      0.903080
 5001.8200     9.512492e+14     1.048484e+15      0.907262
 5001.8300     9.648622e+14     1.048478e+15      0.920250
 5001.8400     9.902846e+14     1.048473e+15      0.944502
 5001.8500     1.013818e+15     1.048468e+15      0.966952
 5001.8600     1.027077e+15     1.048463e+15      0.979603
 5001.8700     1.032750e+15     1.048457e+15      0.985018
 5001.8800     1.035157e+15     1.048452e+15      0.987319
 5001.8900     1.036571e+15     1.048447e+15      0.988673
