# Korg.jl Solar Spectrum - Simple Format
# Teff=5780 K, logg=4.44, [M/H]=0.0
# Wavelength(Å)  NormalizedFlux  Continuum(erg/s/cm²/Å)
 5002.9500      0.959132     1.047892e+15
 5002.9600      0.959213     1.047887e+15
 5002.9700      0.957988     1.047882e+15
 5002.9800      0.956053     1.047877e+15
 5002.9900      0.953566     1.047872e+15
 5003.0000      0.950608     1.047866e+15
 5003.0100      0.947176     1.047859e+15
 5003.0200      0.943233     1.047853e+15
 5003.0300      0.938735     1.047846e+15
 5003.0400      0.933689     1.047839e+15
 5003.0500      0.927802     1.047832e+15
 5003.0600      0.921045     1.047825e+15
 5003.0700      0.913258     1.047818e+15
 5003.0800      0.904239     1.047812e+15
 5003.0900      0.893736     1.047805e+15
 5003.1000      0.881428     1.047798e+15
 5003.1100      0.866908     1.047791e+15
 5003.1200      0.849608     1.047784e+15
 5003.1300      0.828589     1.047778e+15
 5003.1400      0.803628     1.047771e+15
 5003.1500      0.773462     1.047764e+15
 5003.1600      0.735719     1.047757e+15
 5003.1700      0.687586     1.047750e+15
 5003.1800      0.623933     1.047743e+15
 5003.1900      0.531741     1.047737e+15
 5003.2000      0.408062     1.047730e+15
 5003.2100      0.301078     1.047723e+15
 5003.2200      0.237696     1.047716e+15
 5003.2300      0.200353     1.047709e+15
 5003.2400      0.177606     1.047702e+15
 5003.2500      0.165646     1.047696e+15
 5003.2600      0.162732     1.047689e+15
 5003.2700      0.168404     1.047682e+15
 5003.2800      0.183543     1.047675e+15
 5003.2900      0.210323     1.047668e+15
 5003.3000      0.254049     1.047662e+15
 5003.3100      0.330037     1.047655e+15
 5003.3200      0.448073     1.047648e+15
 5003.3300      0.562928     1.047641e+15
 5003.3400      0.640301     1.047634e+15
 5003.3500      0.694437     1.047627e+15
 5003.3600      0.737548     1.047621e+15
 5003.3700      0.774120     1.047614e+15
 5003.3800      0.805394     1.047607e+15
 5003.3900      0.831928     1.047600e+15
 5003.4000      0.853460     1.047593e+15
 5003.4100      0.870691     1.047586e+15
 5003.4200      0.884850     1.047580e+15
 5003.4300      0.896724     1.047573e+15
 5003.4400      0.906829     1.047566e+15
 5003.4500      0.915514     1.047559e+15
 5003.4600      0.923032     1.047552e+15
 5003.4700      0.929580     1.047546e+15
 5003.4800      0.935315     1.047539e+15
 5003.4900      0.940363     1.047532e+15
 5003.5000      0.944828     1.047525e+15
 5003.5100      0.948797     1.047518e+15
 5003.5200      0.952332     1.047511e+15
 5003.5300      0.955495     1.047505e+15
 5003.5400      0.958335     1.047498e+15
 5003.5500      0.960894     1.047491e+15
 5003.5600      0.963205     1.047484e+15
 5003.5700      0.965297     1.047477e+15
 5003.5800      0.967197     1.047470e+15
 5003.5900      0.968924     1.047464e+15
 5003.6000      0.970499     1.047457e+15
 5003.6100      0.971936     1.047450e+15
 5003.6200      0.973190     1.047443e+15
 5003.6300      0.974370     1.047436e+15
 5003.6400      0.975424     1.047430e+15
 5003.6500      0.976274     1.047423e+15
 5003.6600      0.976600     1.047416e+15
 5003.6700      0.975447     1.047409e+15
 5003.6800      0.970954     1.047402e+15
 5003.6900      0.961334     1.047395e+15
 5003.7000      0.947735     1.047389e+15
 5003.7100      0.935998     1.047382e+15
 5003.7200      0.933243     1.047375e+15
 5003.7300      0.941561     1.047368e+15
 5003.7400      0.956067     1.047361e+15
 5003.7500      0.969395     1.047354e+15
 5003.7600      0.977718     1.047348e+15
 5003.7700      0.981528     1.047341e+15
 5003.7800      0.982879     1.047334e+15
 5003.7900      0.983087     1.047327e+15
 5003.8000      0.982121     1.047320e+15
 5003.8100      0.978868     1.047314e+15
 5003.8200      0.973212     1.047307e+15
 5003.8300      0.968469     1.047300e+15
 5003.8400      0.968999     1.047293e+15
 5003.8500      0.973789     1.047286e+15
 5003.8600      0.978019     1.047279e+15
 5003.8700      0.979308     1.047273e+15
 5003.8800      0.978275     1.047266e+15
 5003.8900      0.975721     1.047259e+15
 5003.9000      0.970918     1.047252e+15
 5003.9100      0.959195     1.047245e+15
 5003.9200      0.923763     1.047239e+15
 5003.9300      0.826869     1.047232e+15
 5003.9400      0.649309     1.047225e+15
 5003.9500      0.469939     1.047218e+15
 5003.9600      0.366344     1.047211e+15
 5003.9700      0.323173     1.047204e+15
 5003.9800      0.314004     1.047198e+15
 5003.9900      0.332559     1.047191e+15
 5004.0000      0.391518     1.047184e+15
 5004.0100      0.521043     1.047177e+15
 5004.0200      0.712086     1.047170e+15
 5004.0300      0.865475     1.047163e+15
 5004.0400      0.935421     1.047157e+15
 5004.0500      0.957683     1.047150e+15
 5004.0600      0.963472     1.047143e+15
 5004.0700      0.964196     1.047136e+15
 5004.0800      0.962423     1.047129e+15
 5004.0900      0.958249     1.047122e+15
 5004.1000      0.950714     1.047115e+15
 5004.1100      0.937016     1.047108e+15
 5004.1200      0.906862     1.047101e+15
 5004.1300      0.831035     1.047095e+15
 5004.1400      0.670167     1.047088e+15
 5004.1500      0.466870     1.047081e+15
 5004.1600      0.335215     1.047074e+15
 5004.1700      0.278162     1.047067e+15
 5004.1800      0.255274     1.047060e+15
 5004.1900      0.251292     1.047053e+15
 5004.2000      0.264115     1.047046e+15
 5004.2100      0.301021     1.047040e+15
 5004.2200      0.389796     1.047033e+15
 5004.2300      0.567204     1.047026e+15
 5004.2400      0.764056     1.047019e+15
 5004.2500      0.880307     1.047012e+15
 5004.2600      0.929234     1.047005e+15
 5004.2700      0.950028     1.046998e+15
 5004.2800      0.961289     1.046991e+15
 5004.2900      0.968488     1.046984e+15
 5004.3000      0.973477     1.046978e+15
 5004.3100      0.977149     1.046971e+15
 5004.3200      0.980026     1.046964e+15
 5004.3300      0.982203     1.046957e+15
 5004.3400      0.984004     1.046950e+15
 5004.3500      0.985478     1.046943e+15
 5004.3600      0.986702     1.046936e+15
 5004.3700      0.987731     1.046929e+15
 5004.3800      0.988606     1.046923e+15
 5004.3900      0.989358     1.046916e+15
 5004.4000      0.990009     1.046909e+15
 5004.4100      0.990577     1.046902e+15
 5004.4200      0.991076     1.046895e+15
 5004.4300      0.991518     1.046888e+15
 5004.4400      0.991911     1.046881e+15
