# Korg.jl Solar Spectrum
# Teff=5780 K, logg=4.44, [M/H]=0.0
# Wavelength(Å)  NormalizedFlux
 5004.5200      0.993951
 5004.5300      0.994117
 5004.5400      0.994270
 5004.5500      0.994412
 5004.5600      0.994543
 5004.5700      0.994665
 5004.5800      0.994779
 5004.5900      0.994884
 5004.6000      0.994983
 5004.6100      0.995075
 5004.6200      0.995161
 5004.6300      0.995214
 5004.6400      0.995288
 5004.6500      0.995358
 5004.6600      0.995422
 5004.6700      0.995537
 5004.6800      0.995532
 5004.6900      0.995716
 5004.7000      0.995753
 5004.7100      0.995786
 5004.7200      0.995814
 5004.7300      0.995838
 5004.7400      0.995856
 5004.7500      0.995868
 5004.7600      0.995874
 5004.7700      0.995870
 5004.7800      0.995855
 5004.7900      0.995825
 5004.8000      0.995772
 5004.8100      0.995624
 5004.8200      0.995395
 5004.8300      0.994750
 5004.8400      0.992630
 5004.8500      0.986941
 5004.8600      0.976667
 5004.8700      0.965548
 5004.8800      0.959592
 5004.8900      0.960944
 5004.9000      0.967120
 5004.9100      0.975451
 5004.9200      0.983550
 5004.9300      0.989495
 5004.9400      0.992872
 5004.9500      0.994447
 5004.9600      0.995078
 5004.9700      0.995329
 5004.9800      0.995430
 5004.9900      0.995426
 5005.0000      0.995394
 5005.0100      0.995318
 5005.0200      0.995198
 5005.0300      0.995006
 5005.0400      0.994717
 5005.0500      0.994241
 5005.0600      0.993106
 5005.0700      0.989261
 5005.0800      0.975194
 5005.0900      0.931584
 5005.1000      0.832429
 5005.1100      0.684315
 5005.1200      0.546403
 5005.1300      0.466460
 5005.1400      0.449894
 5005.1500      0.495100
 5005.1600      0.607080
 5005.1700      0.762779
 5005.1800      0.894300
 5005.1900      0.962007
 5005.2000      0.985141
 5005.2100      0.991121
 5005.2200      0.992499
 5005.2300      0.992855
 5005.2400      0.992899
 5005.2500      0.992792
 5005.2600      0.992569
 5005.2700      0.992259
 5005.2800      0.991811
 5005.2900      0.991227
 5005.3000      0.990475
 5005.3100      0.989493
 5005.3200      0.988221
 5005.3300      0.986538
 5005.3400      0.984199
 5005.3500      0.980782
 5005.3600      0.975138
 5005.3700      0.964674
 5005.3800      0.940852
 5005.3900      0.884319
 5005.4000      0.772868
 5005.4100      0.621900
 5005.4200      0.493636
 5005.4300      0.422490
 5005.4400      0.403460
 5005.4500      0.430006
 5005.4600      0.510594
 5005.4700      0.646069
 5005.4800      0.794420
 5005.4900      0.896474
 5005.5000      0.945955
 5005.5100      0.966605
 5005.5200      0.975800
 5005.5300      0.980604
 5005.5400      0.982885
 5005.5500      0.981570
 5005.5600      0.971665
 5005.5700      0.945095
 5005.5800      0.898600
 5005.5900      0.845981
 5005.6000      0.813022
 5005.6100      0.817292
 5005.6200      0.856828
 5005.6300      0.911135
 5005.6400      0.955486
 5005.6500      0.979536
 5005.6600      0.988666
 5005.6700      0.990416
 5005.6800      0.986951
 5005.6900      0.972945
 5005.7000      0.936833
 5005.7100      0.872664
 5005.7200      0.797863
 5005.7300      0.745937
 5005.7400      0.738794
 5005.7500      0.772900
 5005.7600      0.816375
 5005.7700      0.825915
 5005.7800      0.795640
 5005.7900      0.762857
 5005.8000      0.761550
 5005.8100      0.799978
 5005.8200      0.863614
 5005.8300      0.924668
 5005.8400      0.964378
